AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
202	SAMN00013367	SRX019911	Bla-1	2012-05-19	14043	9855	2012-05-31	SRR492219	SRS066139	Bla-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012280	SRX144870	Di-G_gDNA	2012-08-12	7368	4816	2012-05-31	SRR492243	SRS066140	Di-G	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012288	SRX144885	Er-0_gDNA	2012-05-30	11889	7947	2012-05-31	SRR492259	SRS066148	Er-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012297	SRX144888	Et-0_gDNA	2012-05-21	12377	8274	2012-05-31	SRR492262	SRS066157	Et-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012595	SRX144825	Aa-0_gDNA	2012-08-12	6751	4535	2012-05-31	SRR492198	SRS071788	Aa-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012596	SRX144827	Ag-0_gDNA	2012-05-18	7807	5472	2012-05-31	SRR492200	SRS071789	Ag-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012597	SRX144828	Ak-1_gDNA	2012-08-12	6494	4250	2012-05-31	SRR492201	SRS071790	Ak-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012598	SRX144829	Alst-1_gDNA	2012-08-12	7114	4640	2012-05-31	SRR492202	SRS071791	Alst-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012599	SRX144831	Amel-1_gDNA	2012-08-12	9467	6303	2012-05-31	SRR492204	SRS071792	Amel-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012600	SRX144832	An-1_gDNA	2012-08-12	6652	4345	2012-05-31	SRR492205	SRS071793	An-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012601	SRX144833	Ang-0_gDNA	2012-08-12	7986	5212	2012-05-31	SRR492206	SRS071794	Ang-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012602	SRX144834	Anholt-1_gDNA	2012-08-12	8174	5454	2012-05-31	SRR492207	SRS071795	Anholt-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012603	SRX144835	Ann-1_gDNA	2012-08-12	9896	6615	2012-05-31	SRR492208	SRS071796	Ann-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012604	SRX144836	Anz-0_gDNA	2012-08-12	6644	4365	2012-05-31	SRR492209	SRS071797	Anz-0	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
202	SAMN00012605	SRX144837	Appt-1_gDNA	2012-05-30	8040	5659	2012-05-31	SRR492210	SRS071798	Appt-1	WGS	PRJNA30811	SALK-E	public	0	Illumina HiSeq 2000	PAIRED	size fractionation	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP000248
